835,Grado,5to,FALTA  UN  DATO  EN LA DIVISIÓN,"",https://youtu.be/9JCMZB54Qvs,2020-06-15 09:55:48.427351,https://youtu.be/9JCMZB54Qvs
41,Grado,K2,Clase 3 (30 Abril),K2 clase del 30 de abril,https://www.youtube.com/watch?v=gw5cIAsV8N4&feature=youtu.be,2020-05-10,#
16,Grado,K1,K1 Apoyo Pedagógico,La profesora Imelda ha preparado el siguiente video,https://www.youtube.com/watch?v=Ri3SSrezJMc&feature=youtu.be,2020-05-10,#
17,Grado,K1,K1 Video Clase Por Skype,"la profesora Imdela ha preparado el sigueinte video, el cual fue una videoclase por Skype",https://www.youtube.com/watch?v=tSz1H3FYQxg&feature=youtu.be,2020-05-10,#
18,Grado,K1,K1 Clase 20 de Abril 2020,"La profesora Imelda ha preparado el sigueinte video, el cual fue una videoclase por Skype",https://www.youtube.com/watch?v=1FHuna0PGoc&feature=youtu.be,2020-05-10,#
19,Grado,K1,K1 Clase 27 de Abril 2020,Profesor: Imelda Carrera Cruz Grupo: KI Tema: Principio de conteo y Ubicación de las vocales en diferentes portadores de textos.,https://www.youtube.com/watch?v=oh8J16R1Zk0&feature=youtu.be,2020-05-10,#
20,Grado,K1,K1 Clase 29 de Abril 2020,"Profesor: Imelda Carrera Cruz Grupo: KI Tema: Resolución de problemas, por medio del conteo y selección de palabras según su sonido inicial.",https://www.youtube.com/watch?v=GWFye5IAuyM&feature=youtu.be,2020-05-10,#
21,Grado,K1,K1 Clase 30 de Abril 2020,Profesor: Imelda Carrera Cruz Grupo: KI Tema: principio de conteo y repaso del sonido de las vocales ya vistas,https://www.youtube.com/watch?v=hOliJB6mt1E&feature=youtu.be,2020-05-10,#
22,Grado,K1,K1 Relación de Objetos,Tema: relación de de objetos con el número indicado y trabalenguas,https://www.youtube.com/watch?v=wnRkiSDmQPM,2020-05-10,#
23,Grado,K1,K1 Representar los Números,Profesor: Imelda grupo: KI Tema: Representar de forma gráfica el número de elementos y el valor de la responsabilidad,https://www.youtube.com/watch?v=CVtCtHoxp1E,2020-05-10,#
24,Grado,K1,K1 Cerca- Lejos Dentro-Fuera y letra Uu,Profesor: Imelda grupo:KI Tema: cerca-lejos dentro-fuera y la letra Uu,https://www.youtube.com/watch?v=Ya2QSDPN5LE&feature=youtu.be,2020-05-10,#
25,Grado,K1,K1 Clase 7 de Mayo,K1 Clase 7 de Mayo,https://www.youtube.com/watch?v=Ya2QSDPN5LE&feature=youtu.be,2020-05-10,#
32,Ingles,K1,Clase 5,"Tema: Animales del mar, partes del cuerpo y cara, Letra U, Número 15, canción de las vocales.",https://www.youtube.com/watch?v=Hp_fK0ZQ9Bo,2020-05-10,#
